year,jurisdiction,jurisdiction_name,complaints,inquiries
2012,PA,Pennsylvania,14105,64378
2012,PR,Puerto Rico,827,0
2012,RI,Rhode Island,396,690
2012,SC,South Carolina,2341,58971
2012,SD,South Dakota,654,40
2012,TN,Tennessee,4139,0
2012,TX,Texas,25944,169440
2012,UT,Utah,1178,93944
2012,VA,Virginia,3562,681
2012,VT,Vermont,469,2867
2012,WA,Washington,5459,145657
2012,WI,Wisconsin,6121,35000
2012,WV,West Virginia,2098,22761
2012,WY,Wyoming,393,0
2013,AK,Alaska,245,3252
2013,AL,Alabama,2166,4330
2013,AR,Arkansas,1933,27846
2013,AZ,Arizona,1821,30669
2013,CA,California,36559,167448
2013,CO,Colorado,2858,14970
2013,CT,Connecticut,4156,24448
2013,DC,Dist. of Columbia,640,700
2013,DE,Delaware,1035,5523
2013,FL,Florida,19821,343393
2013,GA,Georgia,9166,181328
2013,HI,Hawaii,643,6503
2013,IA,Iowa,1581,603
2013,ID,Idaho,769,6988
2013,IL,Illinois,8339,62498
2013,IN,Indiana,3514,38304
2013,KS,Kansas,2744,2843
2013,KY,Kentucky,3667,297
2013,LA,Louisiana,2831,
2013,MA,Massachusetts,1233,19410
2013,MD,Maryland,11933,517
2013,ME,Maine,781,8999
2013,MI,Michigan,4212,6662
2013,MN,Minnesota,3034,26289
2013,MO,Missouri,3739,9010
2013,MS,Mississippi,1092,16972
2013,MT,Montana,1068,216
2013,NC,North Carolina,9885,188640
2013,ND,North Dakota,195,25153
2013,NE,Nebraska,1263,10500
2013,NH,New Hampshire,946,6309
2013,NJ,New Jersey,7835,31820
2013,NM,New Mexico,761,5424
2013,NV,Nevada,2375,21000
2013,NY,New York,37842,67205
2013,OH,Ohio,5397,77054
2013,OK,Oklahoma,4632,28856
2013,OR,Oregon,2879,15694
2013,PA,Pennsylvania,14119,52740
2013,PR,Puerto Rico,768,
2013,RI,Rhode Island,369,2035
2013,SC,South Carolina,2676,59369
2013,SD,South Dakota,784,43
2013,TN,Tennessee,3376,
2013,TX,Texas,24006,176869
2013,UT,Utah,886,103321
2013,VA,Virginia,3630,20995
2013,VT,Vermont,448,3702
2013,WA,Washington,5040,113600
2013,WI,Wisconsin,4165,25000
2013,WV,West Virginia,1494,25954
2013,WY,Wyoming,360,
2014,AK,Alaska,245,3252
2014,AL,Alabama,2378,3342
2014,AR,Arkansas,2432,17495
2014,AZ,Arizona,2173,18283
2014,CA,California,37807,175684
2014,CO,Colorado,3272,17340
2014,CT,Connecticut,4724,25326
2014,DC,Dist. of Columbia,741,800
2014,DE,Delaware,933,3387
2014,FL,Florida,17056,332568
2014,GA,Georgia,9718,156946
2014,HI,Hawaii,567,6263
2014,IA,Iowa,1575,319
2014,ID,Idaho,808,6594
2014,IL,Illinois,9941,59946
2014,IN,Indiana,3769,44859
2014,KS,Kansas,3074,2081
2014,KY,Kentucky,4090,336
2014,LA,Louisiana,2999,
2014,MA,Massachusetts,892,18083
2014,MD,Maryland,13619,641
2014,ME,Maine,882,8087
2014,MI,Michigan,4793,7186
2014,MN,Minnesota,5451,18125
