state,year,line,outcome_category,count,source_type,is_partial_year,notes
GA,2017,all_lines,,12218,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
GA,2018,all_lines,,9139,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
GA,2019,all_lines,,10429,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
GA,2020,all_lines,,8206,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
GA,2021,all_lines,,7544,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
GA,2022,all_lines,,9290,idrr,false,"NAIC IDRR Vol 1, data year 2022; complaints received, not closed"
HI,1998,all_lines,,1522,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
HI,1999,all_lines,,1450,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
HI,2000,all_lines,,720,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
HI,2001,all_lines,,641,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
HI,2002,all_lines,,1053,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
HI,2004,all_lines,,661,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
HI,2005,all_lines,,893,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
HI,2006,all_lines,,684,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
HI,2007,all_lines,,491,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
HI,2008,all_lines,,730,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
HI,2009,all_lines,,751,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
HI,2010,all_lines,,811,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
HI,2011,all_lines,,519,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
HI,2012,all_lines,,514,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
HI,2013,all_lines,,643,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
HI,2014,all_lines,,567,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
HI,2015,all_lines,,510,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
HI,2016,all_lines,,597,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
HI,2017,all_lines,,576,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
HI,2018,all_lines,,608,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
HI,2019,all_lines,,633,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
HI,2020,all_lines,,622,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
HI,2021,all_lines,,547,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
HI,2022,all_lines,,607,idrr,false,"NAIC IDRR Vol 1, data year 2022; complaints received, not closed"
IA,1998,all_lines,,2442,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
